File Info: ,[0] = ./data/walk_data_1.csv,[1] = ./data/walk_data_2.csv
Data Origin,Data Points,Max,Min,Average,Good Vs Corrupted
accel.x[0],940,32767,-32768,-6253,0
accel.y[0],940,32767,-30218,1175,0
accel.z[0],940,32767,-17002,7416,0
gyro.x[0],940,10893,-8962,328,0
gyro.y[0],940,18154,-11314,79,0
gyro.z[0],940,6502,-6610,130,0
accel.x[1],861,20188,-32768,-6841,0
accel.y[1],861,21898,-19646,1003,0
accel.z[1],861,32767,-20612,7461,0
gyro.x[1],861,9465,-6956,346,0
gyro.y[1],861,17686,-12648,87,0
gyro.z[1],861,6327,-5900,106,0
