walk_data_1.TimeStamp, walk_data_1.timeStamp (ms), walk_data_1.accelX, walk_data_1.accelY, walk_data_1.accelZ, walk_data_1.gyroX, walk_data_1.gyroY, walk_data_1.gyroZ, walk_data_2.TimeStamp, walk_data_2.timeStamp (ms), walk_data_2.accelX, walk_data_2.accelY, walk_data_2.accelZ, walk_data_2.gyroX, walk_data_2.gyroY, walk_data_2.gyroZ
Mon Sep 26 15:14:38 2016, 2, -3804, 526, 7102, 66, 2, -31, Mon Sep 26 15:19:21 2016, 178, -4006, 610, 7006, 39, 196, -88
Mon Sep 26 15:14:38 2016, 7, -3802, 522, 7068, 58, 0, -22, Mon Sep 26 15:19:21 2016, 187, -3924, 562, 7076, 43, 269, -99
Mon Sep 26 15:14:38 2016, 16, -3816, 506, 7116, 58, -8, -21, Mon Sep 26 15:19:21 2016, 197, -3892, 526, 7008, 42, 333, -98
Mon Sep 26 15:14:38 2016, 27, -3802, 514, 7092, 50, -10, -37, Mon Sep 26 15:19:21 2016, 208, -4098, 596, 7002, 55, 377, -97
Mon Sep 26 15:14:38 2016, 37, -3786, 536, 7126, 54, -11, -36, Mon Sep 26 15:19:21 2016, 217, -4066, 566, 6954, 53, 394, -98
Mon Sep 26 15:14:38 2016, 47, -3800, 548, 7036, 48, 1, -41, Mon Sep 26 15:19:21 2016, 227, -4128, 586, 6950, 42, 410, -88
Mon Sep 26 15:14:38 2016, 57, -3794, 522, 7158, 46, -3, -33, Mon Sep 26 15:19:21 2016, 237, -3984, 562, 6918, 45, 415, -91
Mon Sep 26 15:14:38 2016, 67, -3806, 506, 7148, 54, -7, -36, Mon Sep 26 15:19:21 2016, 247, -4006, 414, 7164, 100, 521, -93
Mon Sep 26 15:14:38 2016, 77, -3828, 492, 7104, 53, -9, -39, Mon Sep 26 15:19:21 2016, 257, -3988, 206, 7074, 172, 584, -160
Mon Sep 26 15:14:38 2016, 87, -3820, 526, 7082, 48, -21, -30, Mon Sep 26 15:19:21 2016, 268, -3644, 748, 6814, 146, 753, -49
Mon Sep 26 15:14:38 2016, 97, -3776, 522, 7150, 46, -6, -41, Mon Sep 26 15:19:21 2016, 277, -4334, 314, 7356, 217, 954, -24
Mon Sep 26 15:14:38 2016, 107, -3854, 512, 7140, 50, -1, -12, Mon Sep 26 15:19:21 2016, 287, -4348, 730, 6930, 311, 1024, -52
Mon Sep 26 15:14:38 2016, 117, -3804, 510, 7136, 62, 1, -7, Mon Sep 26 15:19:21 2016, 297, -4182, 796, 7390, 341, 1179, -172
Mon Sep 26 15:14:38 2016, 127, -3746, 524, 7132, 73, 22, -15, Mon Sep 26 15:19:21 2016, 308, -4142, 1064, 6918, 341, 1285, -447
Mon Sep 26 15:14:38 2016, 137, -3834, 514, 7122, 72, 16, -16, Mon Sep 26 15:19:21 2016, 318, -4024, 1416, 7584, 377, 1390, -699
Mon Sep 26 15:14:38 2016, 147, -3820, 498, 7182, 75, 14, -15, Mon Sep 26 15:19:21 2016, 328, -3918, 1572, 7408, 126, 1561, -1143
Mon Sep 26 15:14:38 2016, 157, -3822, 534, 7112, 77, 20, -15, Mon Sep 26 15:19:21 2016, 338, -3808, 636, 7950, 201, 1472, -1428
Mon Sep 26 15:14:38 2016, 167, -3836, 506, 7114, 81, 17, -12, Mon Sep 26 15:19:21 2016, 348, -3664, 586, 7784, 271, 1383, -1827
Mon Sep 26 15:14:38 2016, 177, -3852, 502, 7162, 93, 19, -11, Mon Sep 26 15:19:21 2016, 358, -2330, 1960, 9076, 144, 1096, -1890
Mon Sep 26 15:14:38 2016, 186, -3844, 564, 7184, 100, 9, -15, Mon Sep 26 15:19:21 2016, 368, -1526, 2538, 9450, -204, 624, -1868
Mon Sep 26 15:14:38 2016, 197, -3818, 536, 7182, 95, 13, -13, Mon Sep 26 15:19:21 2016, 378, -102, 2946, 9848, -454, 483, -1722
Mon Sep 26 15:14:38 2016, 207, -3820, 578, 7132, 90, 13, -11, Mon Sep 26 15:19:21 2016, 388, -1370, 2818, 10790, -303, 378, -1169
Mon Sep 26 15:14:38 2016, 216, -3802, 574, 7110, 86, 9, -15, Mon Sep 26 15:19:21 2016, 398, -1366, 3242, 10774, -54, 108, -792
Mon Sep 26 15:14:38 2016, 227, -3812, 568, 7176, 117, 34, -3, Mon Sep 26 15:19:21 2016, 407, -288, 3618, 10192, -58, -380, -425
Mon Sep 26 15:14:38 2016, 237, -3892, 488, 7150, 177, 63, 15, Mon Sep 26 15:19:21 2016, 417, 602, 3862, 9814, -186, -526, -292
Mon Sep 26 15:14:38 2016, 247, -3942, 544, 7376, 261, 134, 67, Mon Sep 26 15:19:21 2016, 428, 504, 3582, 10214, -352, -737, -125
Mon Sep 26 15:14:38 2016, 257, -4278, 546, 7300, 378, 239, 104, Mon Sep 26 15:19:21 2016, 438, 400, 3214, 10330, -324, -938, 5
Mon Sep 26 15:14:38 2016, 267, -4252, 418, 7020, 441, 207, 127, Mon Sep 26 15:19:21 2016, 448, 278, 2836, 10342, -30, -1299, 310
Mon Sep 26 15:14:38 2016, 276, -3626, 728, 7076, 455, 92, 163, Mon Sep 26 15:19:21 2016, 458, 24, 2490, 10342, 257, -1584, 557
Mon Sep 26 15:14:38 2016, 287, -3718, 894, 7242, 388, 91, 137, Mon Sep 26 15:19:21 2016, 468, -144, 2562, 10032, 588, -1953, 920
Mon Sep 26 15:14:38 2016, 297, -4024, 926, 7148, 321, 136, 129, Mon Sep 26 15:19:21 2016, 478, -120, 2702, 9538, 622, -2090, 1121
Mon Sep 26 15:14:38 2016, 307, -3976, 988, 7288, 271, 65, 95, Mon Sep 26 15:19:21 2016, 488, -246, 2210, 9302, 476, -2209, 1397
Mon Sep 26 15:14:38 2016, 317, -4304, 756, 7208, 245, 68, 78, Mon Sep 26 15:19:21 2016, 498, -886, 2398, 9308, 380, -2190, 1467
Mon Sep 26 15:14:38 2016, 327, -4032, 928, 6866, 329, -52, 83, Mon Sep 26 15:19:21 2016, 507, -1556, 2228, 9496, 394, -2260, 1610
Mon Sep 26 15:14:38 2016, 337, -3384, 962, 7104, 237, -140, 3, Mon Sep 26 15:19:21 2016, 517, -2110, 2266, 9214, 410, -2359, 1669
Mon Sep 26 15:14:38 2016, 347, -3218, 908, 7248, 106, -47, -80, Mon Sep 26 15:19:21 2016, 527, -1988, 2330, 8710, 376, -2415, 1726
Mon Sep 26 15:14:38 2016, 357, -3236, 1182, 7080, -143, 135, -231, Mon Sep 26 15:19:21 2016, 537, -1798, 2404, 8034, 316, -2348, 1724
Mon Sep 26 15:14:38 2016, 367, -2762, 1268, 7122, -233, 293, -340, Mon Sep 26 15:19:21 2016, 547, 369, -1922, 2440, 7848, 319, -2125
Mon Sep 26 15:14:38 2016, 377, -2668, 1456, 7192, -396, 582, -619, Mon Sep 26 15:19:21 2016, 557, -3228, 2310, 8662, 459, -2053, 1749
Mon Sep 26 15:14:38 2016, 387, -3124, 540, 7732, -523, 784, -967, Mon Sep 26 15:19:21 2016, 567, -3962, 2716, 9046, 617, -2230, 1862
Mon Sep 26 15:14:38 2016, 397, -4, 764, 8082, -459, 1530, -1583, Mon Sep 26 15:19:21 2016, 577, -3620, 3264, 8740, 567, -2387, 1905
